User ID,Age,Gender,Country,Daily Social Media Time (hrs),Daily Entertainment Time (hrs),Social Media Platforms Used,Primary Platform,Daily Messaging Time (hrs),Daily Video Content Time (hrs),Daily Gaming Time (hrs),Occupation,Marital Status,Monthly Income (USD),Device Type,Internet Speed (Mbps),Subscription Platforms,Average Sleep Time (hrs),Physical Activity Time (hrs),Reading Time (hrs),Work/Study Time (hrs),Screen Time (hrs),Notifications Received Daily,Daily Music Listening Time (hrs),Preferred Content Type,Primary Social Media Goal,Preferred Entertainment Platform,Time Spent in Online Communities (hrs),Social Media Fatigue Level (scale 1-10),News Consumption Time (hrs),Ad Interaction Count,Time on Educational Platforms (hrs),Parental Status,Tech Savviness Level (scale 1-10),Preferred Device for Entertainment,Data Plan Used,Digital Well-being Awareness,Sleep Quality (scale 1-10),Social Isolation Feeling (scale 1-10),Monthly Expenditure on Entertainment (USD)
1,32,Other,Germany,4.35,4.08,5,TikTok,0.35,5.43,4.68,Student,Widowed,1838.33,PC,83.45,1,6.44,0.59,2.15,2.01,7.33,71,5.31,Series,Education,Netflix,3.12,2,2.82,20,4.11,Yes,9,Tablet,50GB,Moderate,7,8,33.04
2,62,Other,India,4.96,4.21,2,YouTube,2.55,4.22,0.41,Professional,Widowed,8352.0,PC,28.28,1,4.7,1.31,3.17,2.87,4.23,192,1.76,News,Networking,Netflix,1.36,5,0.32,26,4.59,Yes,9,PC,10GB,Low,8,2,497.78
3,51,Female,USA,6.78,1.77,4,Facebook,2.09,1.09,4.38,Student,Divorced,3698.74,Smartphone,89.81,5,4.78,1.8,2.13,3.91,4.45,116,2.1,Series,Entertainment,Spotify,1.97,3,1.25,47,0.66,Yes,9,Tablet,10GB,High,5,3,71.72
4,44,Female,India,5.06,9.21,3,YouTube,3.69,4.8,4.82,Retired,Widowed,9328.14,PC,38.69,5,8.68,2.3,2.14,1.9,11.49,153,4.16,Short Videos,Education,Spotify,3.47,1,2.65,22,3.44,Yes,7,Tablet,10GB,Low,9,9,129.62
5,21,Other,Germany,2.57,1.3,4,TikTok,3.97,2.74,4.4,Student,Widowed,5402.92,Smartphone,89.87,0,5.75,1.46,2.36,2.67,7.14,35,1.89,Series,Education,Amazon Prime,2.32,4,1.44,42,4.14,Yes,7,Smart TV,Unlimited,Low,5,9,35.9
6,21,Male,Canada,4.69,1.7,3,Facebook,2.6,4.92,2.81,Student,Divorced,8749.51,Smartphone,69.29,3,4.95,2.45,1.15,4.67,6.35,189,5.78,Short Videos,Entertainment,Netflix,1.91,2,2.01,20,3.29,Yes,9,PC,Unlimited,High,6,1,49.41
7,16,Male,Germany,3.59,5.89,5,TikTok,2.44,2.76,0.39,Retired,Married,4156.94,Tablet,16.29,3,4.41,2.17,2.3,6.81,2.57,112,0.58,Series,Entertainment,Amazon Prime,2.81,7,1.66,46,0.22,No,8,Tablet,50GB,Low,2,2,95.29
8,58,Female,USA,4.2,2.77,4,Facebook,3.54,0.69,3.38,Retired,Married,4061.59,Smartphone,62.2,3,6.15,2.58,2.81,5.89,7.22,48,5.44,Movies,Networking,Amazon Prime,1.52,2,2.9,27,0.03,No,2,Tablet,Unlimited,Low,9,1,9.65
9,44,Other,Germany,5.3,7.9,3,TikTok,4.26,6.05,4.49,Unemployed,Married,6280.52,PC,35.19,0,5.99,1.9,3.84,8.92,9.51,174,4.81,Short Videos,Networking,Amazon Prime,3.67,3,2.63,5,1.49,Yes,2,Tablet,Unlimited,Low,5,2,445.16
10,49,Other,India,3.62,6.65,5,Instagram,0.35,4.79,0.96,Student,Divorced,5276.19,Smartphone,97.52,5,8.78,2.53,2.51,0.36,4.51,133,4.5,Series,Networking,YouTube,3.72,2,1.37,19,0.0,Yes,7,PC,10GB,Low,6,9,294.21
11,14,Male,UK,2.58,8.08,5,Instagram,4.79,3.56,3.85,Professional,Divorced,4037.0,Smartphone,92.53,1,5.99,0.4,2.26,8.78,9.47,121,5.27,Series,Networking,Amazon Prime,2.34,1,1.73,4,2.74,No,2,PC,Unlimited,Moderate,1,9,253.37
12,63,Other,Germany,1.86,5.19,2,TikTok,1.05,4.98,3.99,Retired,Single,3434.34,Smartphone,69.05,5,4.81,1.95,2.8,7.77,2.47,188,5.45,Short Videos,Entertainment,Amazon Prime,2.71,7,1.68,30,1.55,No,2,Tablet,50GB,Moderate,1,9,184.57
13,56,Male,UK,0.51,9.35,4,Facebook,2.04,4.09,0.49,Retired,Single,8607.65,Smartphone,29.39,5,6.01,1.52,2.78,1.46,3.27,141,3.07,Short Videos,Networking,Netflix,2.14,5,2.53,23,1.52,Yes,8,Smart TV,Unlimited,Moderate,4,1,62.41
14,24,Male,Germany,6.0,0.66,4,Twitter,1.92,3.57,0.61,Retired,Widowed,2846.62,PC,50.31,1,4.33,2.29,1.01,6.8,4.84,37,1.96,Series,Networking,Spotify,3.07,1,0.6,36,3.88,No,1,Smart TV,50GB,Low,2,2,389.03
15,22,Female,Canada,3.73,2.71,1,Instagram,0.32,4.01,2.47,Professional,Widowed,6013.22,PC,48.86,3,7.44,2.24,2.89,6.96,4.0,177,2.28,Series,Education,Spotify,1.57,4,0.87,20,4.08,Yes,1,PC,50GB,Low,9,9,166.1
16,22,Female,Germany,3.1,6.19,5,Twitter,4.9,4.98,0.47,Retired,Widowed,5875.0,Tablet,75.63,4,8.57,2.69,4.0,3.63,9.58,162,2.15,Movies,Education,Netflix,0.22,9,2.51,38,1.53,Yes,2,Smartphone,10GB,Moderate,4,7,290.59
17,28,Male,Australia,1.94,8.94,2,Facebook,1.8,0.97,3.22,Student,Widowed,7342.82,PC,71.28,1,5.84,0.27,2.54,3.3,3.6,183,3.32,Short Videos,Entertainment,YouTube,2.53,8,1.96,18,2.74,No,9,Smartphone,Unlimited,Low,9,4,440.49
18,40,Other,Australia,3.9,4.65,1,Facebook,2.25,5.81,0.89,Unemployed,Single,8416.41,Tablet,14.84,0,7.59,0.68,3.88,6.33,2.24,18,1.36,Short Videos,Entertainment,Netflix,3.08,2,0.76,35,0.18,Yes,8,Tablet,50GB,High,2,5,467.96
19,35,Male,Germany,7.73,4.47,5,Twitter,1.73,6.11,4.22,Retired,Single,9745.38,Smartphone,83.34,1,5.77,2.6,2.19,1.17,3.39,31,5.64,Short Videos,Education,YouTube,1.8,6,2.42,44,4.35,No,1,Smartphone,50GB,Moderate,3,7,12.89
20,28,Female,Germany,1.21,4.57,5,TikTok,3.1,4.12,4.62,Unemployed,Single,7236.3,Tablet,47.71,4,7.72,1.54,1.95,5.44,4.14,22,1.35,Movies,Education,Amazon Prime,3.26,2,2.44,9,2.08,No,4,Tablet,50GB,Low,2,6,360.74
21,44,Male,UK,6.08,9.33,5,TikTok,2.33,0.76,2.21,Professional,Widowed,9223.01,Smartphone,38.67,0,6.36,0.24,2.1,5.89,6.56,154,4.95,Short Videos,Networking,YouTube,0.51,8,2.75,25,1.5,Yes,3,PC,Unlimited,Moderate,1,4,467.84
22,20,Male,Canada,7.15,6.15,1,Twitter,4.73,2.76,4.11,Unemployed,Single,3181.35,PC,93.48,1,5.76,0.46,1.14,3.39,2.29,16,2.08,Movies,Entertainment,Amazon Prime,2.27,9,2.09,46,1.41,No,4,PC,50GB,Moderate,4,9,490.45
23,28,Male,Canada,7.03,3.96,3,Instagram,2.78,0.5,1.04,Unemployed,Married,1198.4,PC,46.2,4,7.94,1.88,0.49,0.15,9.68,193,2.48,Movies,News,YouTube,0.39,1,1.62,2,0.24,No,7,Tablet,Unlimited,Low,5,9,102.96
24,32,Female,USA,0.78,0.55,2,Facebook,0.57,2.65,0.0,Professional,Divorced,9625.09,Tablet,94.63,1,6.34,0.15,2.42,0.38,6.12,199,5.8,Series,Entertainment,Spotify,0.89,5,2.07,4,2.46,Yes,1,PC,Unlimited,Low,6,1,280.82
25,36,Female,USA,7.72,5.83,4,YouTube,1.37,5.21,2.44,Retired,Widowed,569.76,Tablet,48.75,0,5.27,2.89,1.76,0.89,7.39,169,2.57,Movies,News,Netflix,3.34,6,1.28,5,3.07,No,7,Smart TV,50GB,Low,2,8,34.81
26,53,Male,India,6.01,9.02,2,TikTok,0.35,5.29,3.59,Retired,Married,5958.93,Tablet,8.15,3,7.22,0.25,3.67,4.77,8.16,124,4.76,Short Videos,Entertainment,Amazon Prime,3.36,5,1.9,10,4.98,Yes,3,Smart TV,10GB,High,9,5,31.34
27,23,Other,UK,1.59,5.55,1,Twitter,1.34,5.85,4.46,Unemployed,Widowed,2915.69,Smartphone,88.88,1,7.0,0.59,2.39,4.58,10.42,101,5.11,Short Videos,Networking,Netflix,0.83,1,0.48,6,3.35,No,1,PC,10GB,High,2,3,479.83
28,39,Female,India,3.55,7.91,3,TikTok,3.75,6.0,4.4,Professional,Single,505.26,Tablet,67.5,4,6.46,2.09,1.16,2.62,10.58,25,2.88,Series,Education,Netflix,3.87,5,1.55,33,4.13,No,3,Smartphone,Unlimited,High,6,8,249.04
29,43,Other,India,7.62,2.04,1,Facebook,3.2,4.36,0.87,Student,Divorced,9113.14,Smartphone,98.78,4,6.08,1.98,2.33,4.96,4.59,133,3.07,Short Videos,Entertainment,YouTube,0.98,3,0.69,34,3.4,No,7,Tablet,Unlimited,High,9,5,467.02
30,15,Other,Germany,6.9,1.8,1,YouTube,1.65,3.92,1.06,Unemployed,Married,5996.04,Tablet,97.59,2,4.4,1.38,3.46,2.18,5.39,67,3.84,Movies,Networking,Amazon Prime,1.35,2,2.4,49,1.87,Yes,9,Smartphone,Unlimited,Moderate,1,9,244.33
31,44,Other,Australia,3.08,8.99,3,YouTube,0.47,4.74,1.77,Student,Widowed,3235.95,Smartphone,10.9,5,8.51,1.83,2.37,3.5,7.12,155,5.51,News,Education,Amazon Prime,3.94,9,2.69,19,3.77,No,5,Smart TV,50GB,Moderate,5,5,119.05
32,21,Male,USA,0.62,7.94,1,YouTube,1.85,6.92,4.59,Unemployed,Married,9696.43,PC,14.29,0,6.77,1.28,0.39,2.2,7.69,97,3.58,Movies,Education,Netflix,2.61,3,0.8,42,2.55,Yes,9,PC,10GB,High,3,1,197.4
33,16,Other,UK,2.73,3.8,1,Facebook,1.13,3.04,4.79,Professional,Divorced,7201.88,Smartphone,59.75,2,4.82,1.62,3.99,5.31,4.79,151,2.16,Series,Entertainment,YouTube,0.98,2,2.74,30,4.96,Yes,9,Tablet,Unlimited,Low,5,7,453.35
34,62,Other,Canada,1.05,8.1,4,Instagram,3.03,0.7,0.26,Unemployed,Married,5703.36,Tablet,38.56,1,8.72,2.89,1.85,7.54,10.9,132,4.31,Short Videos,Entertainment,Amazon Prime,2.33,6,2.38,12,4.09,Yes,8,Tablet,50GB,Low,8,4,40.11
35,63,Female,India,1.43,1.22,5,Facebook,1.55,6.72,2.69,Professional,Married,2481.36,Tablet,40.81,1,7.14,2.72,2.38,5.45,8.64,40,1.23,News,Education,Spotify,2.85,3,0.76,24,0.74,No,3,Tablet,10GB,Moderate,5,9,426.27
36,55,Other,Australia,7.59,5.42,2,Twitter,4.01,2.1,3.44,Student,Widowed,7585.69,PC,75.7,2,5.55,2.52,2.98,3.82,4.62,103,2.48,News,Networking,YouTube,0.98,8,2.93,44,1.03,No,3,Smart TV,Unlimited,Low,2,7,283.66
37,28,Other,UK,7.78,8.87,3,Facebook,1.1,5.26,0.44,Professional,Married,1716.01,Smartphone,14.12,5,4.6,1.71,3.25,8.21,5.49,150,3.99,Short Videos,Education,Netflix,1.29,1,2.17,12,2.89,No,3,Tablet,10GB,High,4,4,379.47
38,18,Female,Canada,4.34,8.51,4,Facebook,2.48,6.75,4.83,Professional,Single,936.81,Tablet,85.84,3,6.27,1.15,2.91,8.95,3.38,142,1.66,Short Videos,Entertainment,YouTube,1.35,9,1.18,47,1.45,Yes,6,Tablet,50GB,High,8,8,476.01
39,48,Other,Australia,5.04,4.03,3,Facebook,4.62,5.55,0.43,Unemployed,Single,6271.51,PC,37.4,5,8.66,0.54,0.66,0.97,10.76,180,2.18,Movies,Entertainment,YouTube,2.68,5,2.83,21,2.15,Yes,5,Tablet,Unlimited,Low,2,6,322.52
40,35,Other,Australia,3.89,2.67,2,Twitter,1.51,4.49,0.74,Student,Divorced,886.53,Tablet,89.06,2,6.24,1.5,3.49,2.04,11.08,142,1.52,Series,News,YouTube,3.48,9,2.66,25,1.15,Yes,7,PC,50GB,Moderate,1,6,464.53
41,19,Male,Germany,0.73,8.74,5,Facebook,2.38,1.33,3.4,Student,Divorced,526.44,Smartphone,38.26,4,6.0,2.98,1.53,2.6,9.72,32,1.43,Movies,Entertainment,Amazon Prime,0.37,1,2.5,11,3.69,No,2,PC,10GB,Moderate,9,1,198.98
42,38,Female,Canada,1.67,3.04,4,Facebook,3.07,5.01,0.88,Retired,Widowed,3663.48,Tablet,51.24,0,8.04,1.75,0.75,9.78,7.13,14,1.93,News,Entertainment,Amazon Prime,2.77,2,2.38,23,0.45,No,5,Smart TV,Unlimited,Low,2,8,495.14
43,14,Male,Canada,7.26,8.31,3,Facebook,4.14,6.35,0.87,Unemployed,Divorced,8361.28,PC,95.66,5,5.36,0.66,0.03,1.66,10.9,46,2.48,Movies,Education,Spotify,3.97,4,1.79,8,1.69,Yes,1,Tablet,50GB,Moderate,1,9,478.8
44,60,Male,Australia,1.5,3.03,2,Twitter,3.54,3.96,0.97,Unemployed,Widowed,7858.94,Tablet,6.32,5,5.85,1.78,1.78,2.42,5.94,10,5.85,News,Networking,Amazon Prime,2.8,2,0.38,5,3.31,Yes,2,Tablet,10GB,Moderate,8,1,295.92
45,26,Female,USA,7.45,9.85,5,Facebook,4.14,2.23,3.81,Unemployed,Widowed,3640.85,Smartphone,53.46,2,7.44,2.67,0.94,5.59,3.54,10,5.04,Movies,News,Amazon Prime,3.22,8,2.49,38,3.22,No,7,Tablet,50GB,Moderate,1,2,415.46
46,47,Female,Australia,3.72,3.92,1,YouTube,0.97,2.85,3.83,Unemployed,Married,9363.43,Tablet,73.6,4,7.34,0.91,3.76,3.3,6.7,88,3.59,Short Videos,Entertainment,Spotify,3.27,5,0.16,31,0.5,No,1,PC,Unlimited,Low,6,7,87.0
47,29,Male,USA,0.92,2.93,4,TikTok,2.8,4.54,0.52,Retired,Single,4440.09,Smartphone,69.53,2,5.01,2.26,0.93,1.06,10.73,194,0.9,Movies,Networking,Netflix,2.59,2,1.37,38,1.44,Yes,1,Smart TV,Unlimited,Low,5,9,452.78
48,40,Other,USA,7.27,6.19,5,TikTok,3.8,6.29,2.49,Professional,Married,7808.56,Smartphone,12.02,0,6.99,0.05,1.07,4.19,5.53,150,3.93,Series,Entertainment,Spotify,1.93,3,2.62,37,2.04,No,9,Tablet,Unlimited,Low,6,6,412.09
49,41,Other,Germany,1.13,3.92,4,YouTube,3.61,2.43,4.2,Unemployed,Widowed,1498.77,Smartphone,31.36,0,8.0,2.43,1.16,7.99,5.88,148,2.31,Movies,Entertainment,Spotify,0.74,6,1.68,39,1.92,Yes,7,Tablet,50GB,Low,7,1,176.55
50,22,Other,Canada,1.12,8.2,1,Facebook,1.73,4.75,4.23,Professional,Single,2837.5,Tablet,48.58,5,6.78,0.5,0.2,1.44,9.54,168,1.84,News,Entertainment,YouTube,2.5,6,2.0,38,4.72,Yes,9,Smart TV,10GB,Low,3,8,73.88
51,63,Female,Canada,1.05,7.46,4,Twitter,3.31,5.57,4.34,Unemployed,Widowed,5823.61,Smartphone,9.02,5,5.04,0.47,0.78,6.77,4.23,177,3.72,Short Videos,Networking,YouTube,0.66,1,2.08,49,4.13,No,1,Smart TV,10GB,Low,1,7,419.18
52,53,Male,USA,6.9,6.51,3,TikTok,2.8,1.07,3.55,Retired,Divorced,8167.85,Tablet,54.52,1,4.47,0.27,3.45,0.62,2.66,94,2.89,News,Entertainment,YouTube,2.94,3,2.84,49,1.35,No,2,PC,50GB,High,5,7,188.51
53,61,Other,USA,3.79,4.51,3,YouTube,0.86,1.29,0.05,Unemployed,Married,6525.11,Tablet,43.76,5,8.75,0.11,1.86,7.36,9.07,57,1.82,News,Entertainment,Netflix,2.25,1,0.04,12,0.93,No,4,PC,10GB,Moderate,3,5,461.23
54,59,Female,India,5.69,8.43,3,Facebook,4.83,4.41,0.89,Unemployed,Divorced,2756.37,PC,9.44,4,7.23,0.59,3.98,8.95,10.82,60,0.78,News,News,Amazon Prime,3.53,6,1.63,28,0.39,No,9,Smartphone,10GB,Low,3,9,439.74
55,44,Female,USA,3.99,3.41,1,TikTok,2.59,2.88,1.07,Professional,Single,2027.25,Smartphone,73.38,1,5.43,0.7,3.31,0.67,9.79,118,3.31,News,News,Spotify,3.58,1,1.22,36,2.99,No,2,Smartphone,50GB,Low,9,8,274.86
56,60,Other,UK,0.91,3.31,1,Facebook,3.95,2.6,0.23,Professional,Married,1274.91,Smartphone,34.63,4,6.37,1.79,0.44,0.74,5.51,177,5.27,Series,News,YouTube,1.23,7,0.48,37,2.0,No,5,Smartphone,Unlimited,High,9,9,112.74
57,17,Male,Canada,7.61,1.37,2,Facebook,2.72,4.47,4.41,Retired,Married,8338.44,PC,71.31,1,6.61,1.26,3.04,3.54,11.86,179,5.28,Movies,Networking,Spotify,0.85,9,0.86,10,4.54,Yes,8,Smart TV,50GB,High,4,6,415.14
58,23,Female,Australia,6.13,5.85,5,YouTube,4.25,1.22,4.24,Unemployed,Married,910.22,PC,5.76,1,7.76,2.98,0.37,3.61,5.8,178,2.24,Short Videos,Education,Amazon Prime,2.31,7,0.5,12,4.23,No,8,PC,10GB,Moderate,1,7,114.93
59,15,Female,Canada,6.57,7.12,3,TikTok,2.72,6.84,1.32,Professional,Single,9860.43,Tablet,12.24,2,8.65,2.5,1.25,4.4,5.27,192,3.05,Movies,News,YouTube,1.54,8,0.75,13,4.71,Yes,2,Smart TV,10GB,High,8,3,237.2
60,29,Female,Canada,4.81,7.27,4,Instagram,0.4,5.43,0.69,Unemployed,Married,2145.04,PC,69.19,3,4.19,2.08,2.27,3.13,5.23,59,4.66,Series,Education,YouTube,3.7,6,1.44,45,0.01,Yes,3,Smartphone,50GB,Low,8,7,228.29
61,33,Male,UK,3.74,8.68,1,Twitter,4.45,1.37,2.25,Unemployed,Married,3553.73,PC,31.87,2,8.58,1.44,1.99,1.7,8.58,36,5.81,Short Videos,Education,YouTube,2.2,9,1.42,7,0.32,No,3,Smartphone,Unlimited,Low,2,3,430.0
62,27,Male,USA,7.99,5.89,4,YouTube,0.32,5.82,4.57,Retired,Married,7532.69,Smartphone,81.12,2,5.97,0.78,3.15,5.55,4.14,158,0.92,News,Education,Spotify,2.7,6,1.68,15,0.75,Yes,1,Smart TV,Unlimited,High,1,7,63.68
63,56,Female,USA,7.51,0.74,5,TikTok,4.99,6.41,0.88,Unemployed,Single,7458.57,Tablet,13.56,0,9.0,0.98,1.33,8.65,3.4,23,5.67,Movies,Education,Spotify,3.7,6,0.14,0,1.83,Yes,1,PC,Unlimited,Low,6,9,170.55
64,31,Female,USA,5.15,2.17,3,YouTube,1.74,5.19,0.38,Unemployed,Widowed,7969.88,PC,38.22,4,8.92,1.04,0.22,2.89,5.09,128,4.94,Movies,News,Spotify,2.14,9,2.6,0,4.93,No,8,Tablet,10GB,High,7,1,126.0
65,27,Other,USA,2.86,5.83,5,YouTube,1.99,4.33,0.23,Retired,Widowed,1536.1,Tablet,50.53,5,4.89,2.68,3.84,2.87,8.37,196,5.58,Series,News,Spotify,3.99,4,0.19,39,4.9,No,9,Smart TV,50GB,Low,2,8,352.38
66,41,Male,Australia,2.12,3.52,4,Twitter,0.43,1.91,1.33,Professional,Widowed,968.7,Tablet,78.25,4,6.49,0.35,0.69,8.25,10.05,56,3.53,Movies,Education,Netflix,3.45,8,2.0,9,3.96,Yes,3,Smart TV,Unlimited,Low,9,7,79.43
67,20,Female,UK,2.07,8.71,3,TikTok,2.92,3.54,4.75,Professional,Married,5994.96,Tablet,46.85,3,5.29,0.99,1.05,7.85,4.56,28,4.75,Series,Education,Spotify,3.6,3,2.91,4,4.03,No,9,Smart TV,50GB,High,9,2,158.13
68,54,Other,USA,6.51,2.67,4,Facebook,2.88,2.94,2.66,Retired,Divorced,1604.52,Smartphone,51.06,5,4.52,2.43,1.71,6.95,6.53,125,1.14,Series,Networking,Netflix,3.93,2,1.29,10,4.62,Yes,3,PC,Unlimited,Low,1,2,398.52
69,16,Other,USA,2.33,2.93,3,YouTube,3.82,0.91,1.88,Unemployed,Single,6607.36,Smartphone,8.87,3,5.25,1.27,1.19,0.13,3.03,91,5.01,News,Education,Netflix,1.32,1,1.53,12,2.13,No,6,Tablet,50GB,Moderate,1,1,380.26
70,64,Other,Australia,5.02,8.51,5,Instagram,2.27,5.59,1.13,Professional,Divorced,1349.37,PC,22.96,1,4.46,0.99,2.8,8.86,9.51,103,1.13,Series,Entertainment,Spotify,2.62,9,2.21,23,2.68,Yes,9,Tablet,Unlimited,High,7,2,71.03
71,53,Male,UK,6.82,6.02,1,YouTube,3.21,2.29,3.88,Student,Widowed,3259.1,PC,54.12,4,6.26,0.1,0.61,6.78,7.49,110,5.8,Short Videos,News,Amazon Prime,0.13,8,0.47,29,4.71,No,7,Tablet,10GB,Low,2,7,137.82
72,23,Other,UK,4.12,3.47,4,Twitter,1.83,1.23,1.6,Professional,Married,8009.58,Smartphone,97.61,3,8.43,2.43,1.08,1.78,4.88,101,5.18,News,Networking,YouTube,2.58,2,2.14,18,3.87,No,7,Tablet,50GB,Low,6,1,177.66
73,13,Other,Australia,4.53,9.26,4,Facebook,2.09,5.52,2.65,Student,Divorced,5811.78,Smartphone,39.13,4,5.19,0.41,0.35,2.17,8.52,109,1.49,Short Videos,Entertainment,Netflix,3.29,2,0.9,37,1.21,No,4,PC,50GB,High,1,4,65.65
74,55,Female,Australia,0.75,3.65,5,YouTube,2.33,1.12,2.34,Student,Married,1226.25,Smartphone,61.14,2,8.73,1.06,2.33,8.86,4.62,148,0.57,Series,Networking,Amazon Prime,1.52,1,1.46,30,2.51,No,7,Tablet,10GB,Low,9,2,324.75
75,49,Other,Australia,1.5,1.71,4,YouTube,2.17,0.73,1.17,Student,Divorced,9577.59,Smartphone,45.54,1,5.99,1.13,2.57,6.59,5.51,120,5.92,Series,Education,YouTube,2.76,5,0.97,25,3.08,Yes,5,Tablet,50GB,Low,6,7,221.1
76,50,Other,Canada,5.53,8.0,2,Facebook,0.97,2.89,3.71,Unemployed,Married,3451.49,Tablet,44.39,0,6.95,1.18,1.63,6.23,11.05,12,3.04,Series,News,YouTube,1.13,3,1.85,48,1.23,No,9,PC,50GB,Moderate,1,2,39.88
77,53,Female,Germany,7.25,4.91,5,Twitter,2.85,3.1,2.14,Student,Widowed,884.64,Smartphone,9.79,1,7.98,2.8,1.5,0.95,11.41,144,4.6,Series,Networking,Netflix,0.97,1,1.04,22,3.4,Yes,2,PC,10GB,Low,3,9,272.88
78,16,Male,Canada,4.83,5.05,3,Twitter,4.43,1.71,2.41,Retired,Single,4970.31,Smartphone,8.99,5,5.25,0.71,0.21,5.87,6.86,120,1.5,Short Videos,Education,Amazon Prime,2.95,6,0.54,26,1.28,Yes,1,PC,10GB,Low,3,9,359.34
79,31,Female,Germany,1.17,1.03,1,Facebook,2.6,5.51,3.88,Student,Widowed,1006.08,Tablet,50.69,2,7.12,1.93,2.41,5.75,8.37,151,0.98,News,Education,Amazon Prime,1.01,5,1.88,3,0.27,Yes,4,Tablet,10GB,High,2,5,459.84
80,19,Female,India,4.9,9.7,2,Instagram,3.98,6.95,2.05,Retired,Divorced,1689.11,Smartphone,87.94,0,8.38,2.24,3.21,8.7,3.1,100,0.73,News,Networking,Netflix,4.0,2,1.96,9,1.41,No,2,Smart TV,50GB,Low,7,5,231.7
81,57,Male,UK,6.05,3.09,2,Instagram,2.94,6.82,4.27,Unemployed,Divorced,4921.12,Tablet,9.84,5,6.13,0.41,2.85,9.6,3.44,142,4.38,Movies,Networking,YouTube,2.28,8,2.31,15,4.39,Yes,9,PC,10GB,Low,3,3,28.78
